doc_id,date,location,line,equipment1,equipment2,equipment3,category,work_type,symptom,action_taken,parts_replaced,operator
DIRTY_000001,2024/1/5,第1工場,A1000 生産ラインA,センサー,圧トラ,圧力トランスミッタ #1,電気,修理票,圧力値がふらつく。配管振動による誤検知と推定,配管クランプ追加で振動抑制。ゼロ点再調整,,S001
DIRTY_000002,令和6年1月8日,第1工場,A1000 生産ラインA,センサー,圧力TR,圧力トランスミッタ #2,電気,作業票,PT 出力が0のまま。配線断線を確認,配線交換後復旧。テスターで導通確認済,信号ケーブル,S002
DIRTY_000003,R6.1.10,第2工場,B1000 組立ラインC,加工設備,ｎｃ旋盤,NC旋盤 #1,機械,重大故障,主軸回転時に異音。ベアリング破損の可能性,ベアリング交換。慣らし運転で正常動作確認,主軸ベアリング2個,S003
DIRTY_000004,2024-01-12,第2工場,B1000 組立ラインC,加工設備,ＮＣ旋盤,NC旋盤 #1,機械,連絡票,主軸の振動増加傾向。要継続監視,振動計測記録を残す。次回定修で分解予定,,S004
DIRTY_000005,2024/01/15,第1工場,A2000 生産ラインB,搬送設備,ベルコン,ベルトコンベア #1,機械,修理票,ベルトが蛇行。張力不足と判断,テンションプーリ調整で正常化,,S001
DIRTY_000006,2024.01.18,第3工場,C1000 検査ラインE,センサー,光電,光電センサー #1,電気,作業票,光電が反応しない。レンズ汚れと推定,アルコール清掃で復旧,,S005
DIRTY_000007,,第1工場,A1000 生産ラインA,制御盤,PLC,PLC CPUユニット #1,電気,修理票,PLC がエラー停止。バッテリ電圧低下アラーム,バッテリ交換。プログラム再転送,バッテリユニット,S002
DIRTY_000008,2024/2/1,第1工場,A1000 生産ラインA,ユーティリティ,貫流ボイラ,貫流ボイラー #1,機械,作業票,蒸気圧が上がらない。バーナー着火不良,点火プラグ清掃・ガス圧調整で復旧,点火プラグ,S006
DIRTY_000009,2024/2/3,第2工場,B2000 組立ラインD,組立設備,カシメ機,カシメ機 #1,機械,修理票,OK,OK,,S001
DIRTY_000010,2024/2/5,第2工場,B1000 組立ラインC,駆動制御,INV,インバータ #1,電気,作業票,INV OC トリップ頻発。過電流保護が働く,モータ絶縁抵抗測定。絶縁低下のためモータ交換,三相誘導モータ,S003
DIRTY_000011,2024/2/5,第2工場,B1000 組立ラインC,駆動制御,インバーター,インバータ #1,電気,作業票,INV OC トリップ頻発。過電流保護が働く,モータ絶縁抵抗測定。絶縁低下のためモータ交換,三相誘導モータ,S003
