doc_id,source_number,work_type,date,location,line,category,equipment1,equipment2,equipment3,equipment_full,work_duration_minutes,downtime_minutes,symptom,root_cause,action_taken,prevention,text
doc_000000,Rpt-0000,修理票,2021-03-12,第1工場,A2000 生産ラインB,電気,駆動制御,ステッピングドライバ,ステッピングドライバ #1,駆動制御 > ステッピングドライバ > ステッピングドライバ #1,195,34,起動ボタンを押下したが、エンコーダが応答せず、エラーコードE-482が表示された。,電磁開閉器の接点が溶着しており、遮断不能となっていた。,パラメータP-905を初期値に戻し、正常動作を確認。,定期点検項目への追加。,"【現象】
起動ボタンを押下したが、エンコーダが応答せず、エラーコードE-482が表示された。

【原因】
電磁開閉器の接点が溶着しており、遮断不能となっていた。

【処置】
パラメータP-905を初期値に戻し、正常動作を確認。

【備考】
定期点検項目への追加。"
doc_000001,Rpt-0001,修理票,2023-03-26,第2工場,B2000 組立ラインD,電気,制御盤,動力盤,動力盤 #4,制御盤 > 動力盤 > 動力盤 #4,219,11,上位システムとの通信エラーが発生し、生産実績データが送信できない。,インバータ設定パラメータの誤変更。,カップリングを交換し、モーターと負荷側の軸心を調整。,予備品の在庫発注点見直し。,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
インバータ設定パラメータの誤変更。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
予備品の在庫発注点見直し。"
doc_000002,Rpt-0002,修理票,2021-04-14,第1工場,A2000 生産ラインB,電気,駆動制御,ソフトスタータ,ソフトスタータ #3,駆動制御 > ソフトスタータ > ソフトスタータ #3,105,31,タッチパネルの画面がフリーズし、操作を受け付けない。,カップリングの樹脂パーツが疲労破壊していた。,リミットスイッチ（CV-X100）を予備品と交換し、芯出し調整を実施。,オペレーターへの清掃指導。,"【現象】
タッチパネルの画面がフリーズし、操作を受け付けない。

【原因】
カップリングの樹脂パーツが疲労破壊していた。

【処置】
リミットスイッチ（CV-X100）を予備品と交換し、芯出し調整を実施。

【備考】
オペレーターへの清掃指導。"
doc_000003,Rpt-0003,連絡票,2024-05-29,第3工場,C1000 検査ラインE,機械,ユーティリティ,集塵機,集塵機 #1,ユーティリティ > 集塵機 > 集塵機 #1,248,0,上位システムとの通信エラーが発生し、生産実績データが送信できない。,Vベルトの張力が規定値183Nに対し134Nまで低下していた。,センサー取付ブラケットを増し締めし、検出位置を再調整。,,"【現象】
上位システムとの通信エラーが発生し、生産実績データが送信できない。

【原因】
Vベルトの張力が規定値183Nに対し134Nまで低下していた。

【処置】
センサー取付ブラケットを増し締めし、検出位置を再調整。

【備考】
特になし。"
doc_000004,Rpt-0004,作業票,2023-03-01,第2工場,B1000 組立ラインC,電気,駆動制御,ステッピングドライバ,ステッピングドライバ #1,駆動制御 > ステッピングドライバ > ステッピングドライバ #1,106,0,稼働中にSSR付近から「ガガガ」という異音が発生した。,電磁開閉器の接点が溶着しており、遮断不能となっていた。,シールド線のアース処理をやり直し、フェライトコアを追加。,予備品の在庫発注点見直し。,"【現象】
稼働中にSSR付近から「ガガガ」という異音が発生した。

【原因】
電磁開閉器の接点が溶着しており、遮断不能となっていた。

【処置】
シールド線のアース処理をやり直し、フェライトコアを追加。

【備考】
予備品の在庫発注点見直し。"
doc_000005,Rpt-0005,修理票,2022-06-23,第1工場,A2000 生産ラインB,機械,組立設備,圧入機,圧入機 #1,組立設備 > 圧入機 > 圧入機 #1,260,6,起動ボタンを押下したが、ボールねじが応答せず、エラーコードE-531が表示された。,ソレノイドバルブ内部のベアリング（型式:CV-X100）が摩耗し、回転振れが生じていた。,断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。,オペレーターへの清掃指導。,"【現象】
起動ボタンを押下したが、ボールねじが応答せず、エラーコードE-531が表示された。

【原因】
ソレノイドバルブ内部のベアリング（型式:CV-X100）が摩耗し、回転振れが生じていた。

【処置】
断線箇所を特定し、屈曲に強いロボットケーブルへ張り替え実施。

【備考】
オペレーターへの清掃指導。"
doc_000006,Rpt-0006,作業票,2024-06-13,第3工場,C1000 検査ラインE,電気,通信機器,無線LANアダプタ,無線LANアダプタ #3,通信機器 > 無線LANアダプタ > 無線LANアダプタ #3,83,0,ヒューズの過負荷アラーム(OL)が頻発し、装置がチョコ停する。,Vベルトの張力が規定値142Nに対し97Nまで低下していた。,ラダープログラムを修正し、インターロック条件を見直した。,保全カレンダーへの登録。,"【現象】
ヒューズの過負荷アラーム(OL)が頻発し、装置がチョコ停する。

【原因】
Vベルトの張力が規定値142Nに対し97Nまで低下していた。

【処置】
ラダープログラムを修正し、インターロック条件を見直した。

【備考】
保全カレンダーへの登録。"
doc_000007,Rpt-0007,修理票,2023-01-30,第3工場,C1000 検査ラインE,機械,加工設備,平面研削盤,平面研削盤 #1,加工設備 > 平面研削盤 > 平面研削盤 #1,58,20,製品の厚み寸法が規格値(217±0.05)を外れ、187mmとなっている。,センサー位置が振動によりズレており、検出距離が限界を超えていた。,カップリングを交換し、モーターと負荷側の軸心を調整。,保全カレンダーへの登録。,"【現象】
製品の厚み寸法が規格値(217±0.05)を外れ、187mmとなっている。

【原因】
センサー位置が振動によりズレており、検出距離が限界を超えていた。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
保全カレンダーへの登録。"
doc_000008,Rpt-0008,修理票,2021-09-01,第1工場,A2000 生産ラインB,機械,組立設備,ナットランナー,ナットランナー #4,組立設備 > ナットランナー > ナットランナー #4,118,21,搬送ベルトがスリップしており、ワークの搬送位置ズレが発生。,油圧ポンプ内部のベアリング（型式:CR-700）が摩耗し、回転振れが生じていた。,カップリングを交換し、モーターと負荷側の軸心を調整。,,"【現象】
搬送ベルトがスリップしており、ワークの搬送位置ズレが発生。

【原因】
油圧ポンプ内部のベアリング（型式:CR-700）が摩耗し、回転振れが生じていた。

【処置】
カップリングを交換し、モーターと負荷側の軸心を調整。

【備考】
特になし。"
doc_000009,Rpt-0009,修理票,2024-07-21,第3工場,C1000 検査ラインE,機械,ユーティリティ,スクリューコンプレッサー,スクリューコンプレッサー #3,ユーティリティ > スクリューコンプレッサー > スクリューコンプレッサー #3,267,32,シリンダーの動作速度が低下し、サイクルタイムが基準より34秒遅延している。,電磁開閉器の接点が溶着しており、遮断不能となっていた。,Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。,,"【現象】
シリンダーの動作速度が低下し、サイクルタイムが基準より34秒遅延している。

【原因】
電磁開閉器の接点が溶着しており、遮断不能となっていた。

【処置】
Oリング全数を新品交換し、リークテストを実施して漏れなきことを確認。

【備考】
特になし。"
